date,aapl,tsla,fb,amzn,goog
8/2/2019,204.020004,234.339996,189.020004,1823.23999,1193.98999
8/5/2019,193.339996,228.320007,181.729996,1765.130005,1152.319946
8/6/2019,197,230.75,184.509995,1787.829956,1169.949951
8/7/2019,199.039993,233.419998,185.149994,1793.400024,1173.98999
8/8/2019,203.429993,238.300003,190.160004,1832.890015,1204.800049
8/9/2019,200.990005,235.009995,187.850006,1807.579956,1188.01001
8/12/2019,200.479996,229.009995,185.369995,1784.920044,1174.709961
8/13/2019,208.970001,235,188.449997,1824.339966,1197.27002
8/14/2019,202.75,219.619995,179.710007,1762.959961,1164.290039
8/15/2019,201.740005,215.639999,182.589996,1776.119995,1167.26001
8/16/2019,206.5,219.940002,183.699997,1792.569946,1177.599976
8/19/2019,210.350006,226.830002,186.169998,1816.119995,1198.449951
8/20/2019,210.360001,225.860001,183.809998,1801.380005,1182.689941
8/21/2019,212.639999,220.830002,183.550003,1823.540039,1191.25
8/22/2019,212.460007,222.149994,182.039993,1804.660034,1189.530029
8/23/2019,202.639999,211.399994,177.75,1749.619995,1151.290039
8/26/2019,206.490005,215,180.360001,1768.869995,1168.890015
8/27/2019,204.160004,214.080002,181.300003,1761.829956,1167.839966
8/28/2019,205.529999,215.589996,181.759995,1764.25,1171.02002
8/29/2019,209.009995,221.710007,185.570007,1786.400024,1192.849976
8/30/2019,208.740005,225.610001,185.669998,1776.290039,1188.099976
9/3/2019,205.699997,225.009995,182.389999,1789.839966,1168.390015
9/4/2019,209.190002,220.679993,187.139999,1800.619995,1181.410034
9/5/2019,213.279999,229.580002,190.899994,1840.719971,1211.380005
9/6/2019,213.259995,227.449997,187.490005,1833.51001,1204.930054
9/9/2019,214.169998,231.789993,188.759995,1831.349976,1204.410034
9/10/2019,216.699997,235.539993,186.169998,1820.550049,1206
9/11/2019,223.589996,247.100006,188.490005,1822.98999,1220.170044
9/12/2019,223.089996,245.869995,187.470001,1843.550049,1234.25
9/13/2019,218.75,245.199997,187.190002,1839.339966,1239.560059
9/16/2019,219.899994,242.809998,186.220001,1807.839966,1231.300049
9/17/2019,220.699997,244.789993,188.080002,1822.550049,1229.150024
9/18/2019,222.770004,243.490005,188.139999,1817.459961,1232.410034
9/19/2019,220.960007,246.600006,190.139999,1821.5,1238.709961
9/20/2019,217.729996,240.619995,189.929993,1794.160034,1229.930054
9/23/2019,218.720001,241.229996,186.820007,1785.300049,1234.030029
9/24/2019,217.679993,223.210007,181.279999,1741.609985,1218.76001
9/25/2019,221.029999,228.699997,182.800003,1768.329956,1246.52002
9/26/2019,219.889999,242.559998,180.110001,1739.839966,1241.390015
9/27/2019,218.820007,242.130005,177.100006,1725.449951,1225.089966
9/30/2019,223.970001,240.869995,178.080002,1735.910034,1219
10/1/2019,224.589996,244.690002,175.809998,1735.650024,1205.099976
10/2/2019,218.960007,243.130005,174.600006,1713.22998,1176.630005
10/3/2019,220.820007,233.029999,179.380005,1724.420044,1187.829956
10/4/2019,227.009995,231.429993,180.449997,1739.650024,1209
10/7/2019,227.059998,237.720001,179.679993,1732.660034,1207.680054
10/8/2019,224.399994,240.050003,177.75,1705.51001,1189.130005
10/9/2019,227.029999,244.529999,179.850006,1721.98999,1202.310059
10/10/2019,230.089996,244.740005,180.029999,1720.26001,1208.670044
10/11/2019,236.210007,247.889999,184.190002,1731.920044,1215.449951
10/14/2019,235.869995,256.959991,183.279999,1736.430054,1217.140015
10/15/2019,235.320007,257.890015,188.889999,1767.380005,1243.01001
10/16/2019,234.369995,259.75,189.550003,1777.430054,1243.640015
10/17/2019,235.279999,261.970001,190.389999,1787.47998,1253.069946
10/18/2019,236.410004,256.950012,185.850006,1757.51001,1245.48999
10/21/2019,240.509995,253.5,189.759995,1785.660034,1246.150024
10/22/2019,239.960007,255.580002,182.339996,1765.72998,1242.800049
10/23/2019,243.179993,254.679993,186.149994,1762.170044,1259.130005
10/24/2019,243.580002,299.679993,186.380005,1780.780029,1260.98999
10/25/2019,246.580002,328.130005,187.889999,1761.329956,1265.130005
10/28/2019,249.050003,327.709991,189.399994,1777.079956,1290
10/29/2019,243.289993,316.220001,189.309998,1762.709961,1262.619995
10/30/2019,243.259995,315.01001,188.25,1779.98999,1261.290039
10/31/2019,248.759995,314.920013,191.649994,1776.660034,1260.109985
11/1/2019,255.820007,313.309998,193.619995,1791.439941,1273.73999
11/4/2019,257.5,317.470001,194.720001,1804.660034,1291.369995
11/5/2019,257.130005,317.220001,194.320007,1801.709961,1292.030029
11/6/2019,257.23999,326.579987,191.550003,1795.77002,1291.800049
11/7/2019,259.429993,335.540009,190.419998,1788.199951,1308.859985
11/8/2019,260.140015,337.140015,190.839996,1785.880005,1311.369995
11/11/2019,262.200012,345.089996,189.610001,1771.650024,1299.189941
11/12/2019,261.959991,349.929993,194.470001,1778,1298.800049
11/13/2019,264.470001,346.109985,193.190002,1753.109985,1298
11/14/2019,262.640015,349.350006,193.149994,1754.599976,1311.459961
11/15/2019,265.76001,352.170013,195.100006,1739.48999,1334.869995
11/18/2019,267.100006,349.98999,197.399994,1752.530029,1320.699951
11/19/2019,266.290009,359.519989,199.320007,1752.790039,1315.459961
11/20/2019,263.190002,352.220001,197.509995,1745.530029,1303.050049
11/21/2019,262.01001,354.829987,197.929993,1734.709961,1301.349976
11/22/2019,261.779999,333.040009,198.820007,1745.719971,1295.339966
11/25/2019,266.369995,336.339996,199.789993,1773.839966,1306.689941
11/26/2019,264.290009,328.920013,198.970001,1796.939941,1313.550049
11/27/2019,267.839996,331.290009,202,1818.51001,1312.98999
11/29/2019,267.25,329.940002,201.639999,1800.800049,1304.959961
12/2/2019,264.160004,334.869995,199.699997,1781.599976,1289.920044
12/3/2019,259.450012,336.200012,198.820007,1769.959961,1295.280029
12/4/2019,261.73999,333.029999,198.710007,1760.689941,1320.540039
12/5/2019,265.579987,330.369995,199.360001,1740.47998,1328.130005
12/6/2019,270.709991,335.890015,201.050003,1751.599976,1340.619995
12/9/2019,266.920013,339.529999,201.339996,1749.51001,1343.560059
12/10/2019,268.480011,348.839996,200.869995,1739.209961,1344.660034
12/11/2019,270.769989,352.700012,202.259995,1748.719971,1345.02002
12/12/2019,271.459991,359.679993,196.75,1760.329956,1350.27002
12/13/2019,275.149994,358.390015,194.110001,1760.939941,1347.829956
12/16/2019,279.859985,381.5,197.919998,1769.209961,1361.170044
12/17/2019,280.410004,378.98999,198.389999,1790.660034,1355.119995
12/18/2019,279.73999,393.149994,202.5,1784.030029,1352.619995
12/19/2019,280.019989,404.040009,206.059998,1792.280029,1356.040039
12/20/2019,279.440002,405.589996,206.300003,1786.5,1349.589966
12/23/2019,284,419.220001,206.179993,1793,1348.839966
12/24/2019,284.269989,425.25,205.119995,1789.209961,1343.560059
12/26/2019,289.910004,430.940002,207.789993,1868.77002,1360.400024
12/27/2019,289.799988,430.380005,208.100006,1869.800049,1351.890015
12/30/2019,291.519989,414.700012,204.410004,1846.890015,1336.140015
12/31/2019,293.649994,418.329987,205.25,1847.839966,1337.02002
1/2/2020,300.350006,430.26001,209.779999,1898.01001,1367.369995
1/3/2020,297.429993,443.01001,208.669998,1874.969971,1360.660034
1/6/2020,299.799988,451.540009,212.600006,1902.880005,1394.209961
1/7/2020,298.390015,469.059998,213.059998,1906.859985,1393.339966
1/8/2020,303.190002,492.140015,215.220001,1891.969971,1404.319946
1/9/2020,309.630005,481.339996,218.300003,1901.050049,1419.829956
1/10/2020,310.329987,478.149994,218.059998,1883.160034,1429.72998
1/13/2020,316.959991,524.859985,221.910004,1891.300049,1439.22998
1/14/2020,312.679993,537.919983,219.059998,1869.439941,1430.880005
1/15/2020,311.339996,518.5,221.149994,1862.02002,1439.199951
1/16/2020,315.23999,513.48999,221.770004,1877.939941,1451.699951
1/17/2020,318.730011,510.5,222.139999,1864.719971,1480.390015
1/21/2020,316.570007,547.200012,221.440002,1892,1484.400024
1/22/2020,317.700012,569.559998,221.320007,1887.459961,1485.949951
1/23/2020,319.230011,572.200012,219.759995,1884.579956,1486.650024
1/24/2020,318.309998,564.820007,217.940002,1861.640015,1466.709961
1/27/2020,308.950012,558.02002,214.869995,1828.339966,1433.900024
1/28/2020,317.690002,566.900024,217.789993,1853.25,1452.560059
1/29/2020,324.339996,580.98999,223.229996,1858,1458.630005
1/30/2020,323.869995,640.809998,209.529999,1870.680054,1455.839966
1/31/2020,309.51001,650.570007,201.910004,2008.719971,1434.22998
2/3/2020,308.660004,780,204.190002,2004.199951,1485.939941
2/4/2020,318.850006,887.059998,209.830002,2049.669922,1447.069946
2/5/2020,321.450012,734.700012,210.110001,2039.869995,1448.22998
2/6/2020,325.209991,748.960022,210.850006,2050.22998,1476.22998
2/7/2020,320.029999,748.070007,212.330002,2079.280029,1479.22998
2/10/2020,321.549988,771.280029,213.059998,2133.909912,1508.680054
2/11/2020,319.609985,774.380005,207.190002,2150.800049,1508.790039
2/12/2020,327.200012,767.289978,210.759995,2160,1518.27002
2/13/2020,324.869995,804,213.139999,2149.870117,1514.660034
2/14/2020,324.950012,800.030029,214.179993,2134.870117,1520.73999
2/18/2020,319,858.400024,217.800003,2155.669922,1519.670044
2/19/2020,323.619995,917.419983,217.490005,2170.219971,1526.689941
2/20/2020,320.299988,899.409973,214.580002,2153.100098,1518.150024
2/21/2020,313.049988,901,210.179993,2095.969971,1485.109985
2/24/2020,298.179993,833.789978,200.720001,2009.290039,1421.589966
2/25/2020,288.079987,799.909973,196.770004,1972.73999,1388.449951
2/26/2020,292.649994,778.799988,197.199997,1979.589966,1393.180054
2/27/2020,273.519989,679,189.75,1884.300049,1318.089966
2/28/2020,273.359985,667.98999,192.470001,1883.75,1339.329956
3/2/2020,298.809998,743.619995,196.440002,1953.949951,1389.109985
3/3/2020,289.320007,745.51001,185.889999,1908.98999,1341.390015
3/4/2020,302.73999,749.5,191.759995,1975.829956,1386.52002
3/5/2020,292.920013,724.539978,185.169998,1924.030029,1319.040039
3/6/2020,289.029999,703.47998,181.089996,1901.089966,1298.410034
3/9/2020,266.170013,608,169.5,1800.609985,1215.560059
3/10/2020,285.339996,645.330017,178.190002,1891.819946,1280.390015
3/11/2020,275.429993,634.22998,170.240005,1820.859985,1215.410034
3/12/2020,248.229996,560.549988,154.470001,1676.609985,1114.910034
3/13/2020,277.970001,546.619995,170.279999,1785,1219.72998
3/16/2020,242.210007,445.070007,146.009995,1689.150024,1084.329956
3/17/2020,252.860001,430.200012,149.419998,1807.839966,1119.800049
3/18/2020,246.669998,361.220001,146.960007,1830,1096.800049
3/19/2020,244.779999,427.640015,153.130005,1880.930054,1115.290039
3/20/2020,229.240005,427.529999,149.729996,1846.089966,1072.319946
3/23/2020,224.369995,434.290009,148.100006,1902.829956,1056.619995
3/24/2020,246.880005,505,160.979996,1940.099976,1134.459961
3/25/2020,245.520004,539.25,156.210007,1885.839966,1102.48999
3/26/2020,258.440002,528.159973,163.339996,1955.48999,1161.75
3/27/2020,247.740005,514.359985,156.789993,1900.099976,1110.709961
3/30/2020,254.809998,502.130005,165.949997,1963.949951,1146.819946
3/31/2020,254.289993,524,166.800003,1949.719971,1162.810059
4/1/2020,240.910004,481.559998,159.600006,1907.699951,1105.619995
4/2/2020,244.929993,454.470001,158.190002,1918.829956,1120.839966
4/3/2020,241.410004,480.01001,154.179993,1906.589966,1097.880005
4/6/2020,262.470001,516.23999,165.550003,1997.589966,1186.920044
4/7/2020,259.429993,545.450012,168.830002,2011.599976,1186.51001
4/8/2020,266.070007,548.840027,174.279999,2043,1210.280029
4/9/2020,267.98999,573,175.190002,2042.76001,1211.449951
4/13/2020,273.25,650.950012,174.789993,2168.870117,1217.560059
4/14/2020,287.049988,709.890015,178.169998,2283.320068,1269.22998
4/15/2020,284.429993,729.830017,176.970001,2307.679932,1262.469971
4/16/2020,286.690002,745.210022,176.25,2408.189941,1263.469971
4/17/2020,282.799988,753.890015,179.240005,2375,1283.25
4/20/2020,276.929993,746.359985,178.240005,2393.610107,1266.609985
4/21/2020,268.369995,686.719971,170.800003,2328.120117,1216.339966
4/22/2020,276.100006,732.109985,182.279999,2363.48999,1263.209961
4/23/2020,275.029999,705.630005,185.130005,2399.449951,1276.310059
4/24/2020,282.970001,725.150024,190.070007,2410.219971,1279.310059
4/27/2020,283.170013,798.75,187.5,2376,1275.880005
4/28/2020,278.579987,769.119995,182.910004,2314.080078,1233.670044
4/29/2020,287.730011,800.51001,194.190002,2372.709961,1341.47998
4/30/2020,293.799988,781.880005,204.710007,2474,1348.660034
5/1/2020,289.070007,701.320007,202.270004,2286.040039,1320.609985
5/4/2020,293.160004,761.190002,205.259995,2315.98999,1326.800049
5/5/2020,297.559998,768.210022,207.070007,2317.800049,1351.109985
5/6/2020,300.630005,782.580017,208.470001,2351.26001,1347.300049
5/7/2020,303.73999,780.039978,211.259995,2367.610107,1372.560059
5/8/2020,310.130005,819.419983,212.350006,2379.610107,1388.369995
5/11/2020,315.01001,811.289978,213.179993,2409,1403.26001
5/12/2020,311.410004,809.409973,210.100006,2356.949951,1375.73999
5/13/2020,307.649994,790.960022,205.100006,2367.919922,1349.329956
5/14/2020,309.540009,803.330017,206.809998,2388.850098,1356.130005
5/15/2020,307.709991,799.169983,210.880005,2409.780029,1373.189941
5/18/2020,314.959991,813.630005,213.190002,2426.26001,1383.939941
5/19/2020,313.140015,808.01001,216.880005,2449.330078,1373.484985
5/20/2020,319.230011,815.559998,229.970001,2497.939941,1406.719971
5/21/2020,316.850006,827.599976,231.389999,2446.73999,1402.800049
5/22/2020,318.890015,816.880005,234.910004,2436.879883,1410.420044
5/26/2020,316.730011,818.869995,232.199997,2421.860107,1417.02002
5/27/2020,318.109985,820.22998,229.139999,2410.389893,1417.839966
5/28/2020,318.25,805.809998,225.460007,2401.100098,1416.72998
5/29/2020,317.940002,835,225.089996,2442.370117,1428.920044
6/1/2020,321.850006,898.099976,231.910004,2471.040039,1431.819946
6/2/2020,323.339996,881.559998,232.720001,2472.409912,1439.219971
6/3/2020,325.119995,882.960022,230.160004,2478.399902,1436.380005
6/4/2020,322.320007,864.380005,226.289993,2460.600098,1412.180054
6/5/2020,331.5,885.659973,230.770004,2483,1438.390015
6/8/2020,333.459991,949.919983,231.399994,2524.060059,1446.609985
6/9/2020,343.98999,940.669983,238.669998,2600.860107,1456.160034
6/10/2020,352.839996,1025.050049,236.729996,2647.449951,1465.849976
6/11/2020,335.899994,972.840027,224.429993,2557.959961,1403.839966
6/12/2020,338.799988,935.280029,228.580002,2545.02002,1413.180054
6/15/2020,342.98999,990.900024,232.5,2572.679932,1419.849976
6/16/2020,352.079987,982.130005,235.649994,2615.27002,1442.719971
6/17/2020,351.589996,991.789978,235.529999,2640.97998,1451.119995
6/18/2020,351.730011,1003.960022,235.940002,2653.97998,1435.959961
6/19/2020,349.720001,1000.900024,238.789993,2675.01001,1431.719971
6/22/2020,358.869995,994.320007,239.220001,2713.820068,1451.859985
6/23/2020,366.529999,1001.780029,242.240005,2764.409912,1464.410034
6/24/2020,360.059998,960.849976,234.020004,2734.399902,1431.969971
6/25/2020,364.839996,985.97998,235.679993,2754.580078,1441.329956
6/26/2020,353.630005,959.73999,216.080002,2692.870117,1359.900024
6/29/2020,361.779999,1009.349976,220.639999,2680.379883,1394.969971
6/30/2020,364.799988,1079.810059,227.070007,2758.820068,1413.609985
7/1/2020,364.109985,1119.630005,237.550003,2878.699951,1438.040039
7/2/2020,364.109985,1208.660034,233.419998,2890.300049,1464.699951
7/6/2020,373.850006,1371.579956,240.279999,3057.040039,1495.699951
7/7/2020,372.690002,1389.859985,240.860001,3000.120117,1485.180054
7/8/2020,381.369995,1365.880005,243.580002,3081.110107,1496
7/9/2020,383.01001,1394.280029,244.5,3182.629883,1510.98999
7/10/2020,383.679993,1544.650024,245.070007,3200,1541.73999
7/13/2020,381.910004,1497.060059,239,3104,1511.339966
7/14/2020,388.230011,1516.800049,239.729996,3084,1520.579956
7/15/2020,390.899994,1546.01001,240.279999,3008.870117,1513.640015
7/16/2020,386.089996,1500.640015,240.929993,2999.899902,1518
7/17/2020,385.309998,1500.839966,242.029999,2961.969971,1515.550049
7/20/2020,393.429993,1643,245.419998,3196.840088,1565.719971
7/21/2020,388,1568.359985,241.75,3138.290039,1558.420044
7/22/2020,389.089996,1592.329956,239.869995,3099.909912,1568.48999
7/23/2020,371.380005,1513.069946,232.600006,2986.550049,1515.680054
7/24/2020,370.459991,1417,230.710007,3008.909912,1511.869995
7/27/2020,379.23999,1539.599976,233.5,3055.209961,1530.199951
7/28/2020,373.01001,1476.48999,230.119995,3000.330078,1500.339966
7/29/2020,380.160004,1499.109985,233.289993,3033.530029,1522.02002
7/30/2020,384.76001,1487.48999,234.5,3051.879883,1531.449951
7/31/2020,425.040009,1430.76001,253.669998,3164.679932,1482.959961
